W_0,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9
0.60633636,0.17155926,-0.11124409,-0.30506676,0.3190189,0.09631015,0.30271345,-0.012461837,-0.14825037,0.07910452
0.6822827,-0.04911751,0.15048964,0.117530905,0.42054734,-0.09249468,-0.1456848,0.17583387,0.09034907,0.11350026
-0.049600046,0.52591383,-0.1398211,-0.31658047,0.11214091,-0.1809532,0.05191323,0.077197134,-0.07892574,0.008061401
0.35360578,-0.05030959,0.17999077,0.20398244,0.4511994,-0.10766656,-0.392733,0.1632462,0.1427753,0.0073227393
0.49582785,-0.06976182,0.0717307,0.3398672,0.49160758,-0.062190074,-0.56625736,0.14883599,-0.008959511,0.09577985
-0.07372824,0.06351409,-0.07650549,0.673195,-0.1062131,-0.21726824,0.12977415,-0.27790728,-0.07774481,-0.1391298
-0.020708466,-0.027525619,-0.15087238,0.37262806,0.050615516,-0.121063374,-0.054585192,-0.20615736,-0.07687119,-0.21404973
0.5588029,0.119799025,-0.124642976,-0.39451292,0.123584524,0.058507577,0.5019593,-0.095122755,-0.012314982,0.09123427
0.72431624,-0.06631961,-0.033155117,-0.11349542,-0.101136096,-0.12097057,0.499632,0.09345383,0.07991712,0.11134169
0.8369591,0.0054271817,-0.08041463,0.23037666,0.056526996,-0.033000734,0.7059003,0.027615488,0.1928188,-0.090464994
0.6409903,0.08329961,-0.11189086,0.04810499,0.065919586,0.0612053,0.71470565,0.030523008,0.08554894,-0.015502727
0.5791563,-0.08243264,-0.08316564,-0.14999783,0.09631417,0.0101808105,0.65141606,-0.00783564,0.13976009,-0.0326365
0.6094102,-0.021954777,-0.12471463,-0.23234887,0.12866312,0.0030476581,0.5376515,-0.07358428,0.022578802,0.030039184
0.6758326,0.035869356,-0.145035,0.15283535,-0.01494529,0.11085705,0.7465142,-0.022400945,0.068173274,0.018949475
0.5619947,0.034632348,-0.27359718,-0.013677391,0.24405886,-0.010754714,0.5008091,-0.040860012,-0.019455852,-0.007246285
0.6903116,-0.01118866,-0.18325065,0.17765443,0.14915717,-0.0568611,0.7071972,-0.04890545,0.069104046,-0.06887258
0.7479958,0.02354647,-0.06881708,-0.004936232,0.052499633,0.0062191617,0.7290967,0.037888814,0.010793366,-0.03850291
0.6454697,0.01748231,-0.03696908,-0.19609733,-0.034172073,0.059964206,0.6677967,0.03138782,-0.022870425,0.09422836
0.53642213,-0.0066935346,-0.08018017,0.62678415,0.5592395,0.085076734,-0.08097698,0.052573767,-0.14150514,0.13125597
0.58547795,-0.06333951,0.18698029,-0.5045915,-0.27204725,-0.25265548,-0.06247068,-0.08491788,-0.05178684,0.14768879
0.036133837,-0.019441236,-0.047993086,-0.6592744,-0.060783543,0.083804466,0.52287805,-0.30345207,-0.059897676,-0.0015462453
0.035194352,-0.17692003,-0.15645263,-0.63981307,0.0860689,-0.054706283,0.6471079,-0.28996548,-0.0637211,0.07769214
0.13428445,-0.16938193,-0.14245461,-0.16981766,0.315938,0.04667162,0.5536453,-0.2600475,-0.07062995,-0.24116339
0.20680104,-0.012500606,-0.21678542,0.18725765,0.08425379,0.18596403,0.7745542,-0.0663581,0.13391878,-0.14806439
0.1679806,-0.072103955,-0.0806467,-0.29557517,-0.11712469,0.0372207,0.7737007,-0.23554108,-0.01598885,-0.04004631
0.34775832,0.032433167,0.007091588,-0.11416584,-0.30732608,-0.05152508,0.65565056,-0.07541285,0.058335528,-0.00013519311
0.21592587,-0.055919975,-0.034358166,-0.8996332,-0.009871598,-0.08095881,0.31589565,-0.109036356,-0.052176524,0.20585302
0.48332003,-0.13402256,-0.08609557,-0.12767695,0.32696983,0.08767303,-0.20890199,-0.15126012,-0.27368245,0.3415377
0.5316965,-0.13258614,-0.024821065,0.43387437,0.48877627,0.07093444,-0.45091218,0.004915939,-0.09133877,0.24089275
0.031906202,0.5458839,-0.14505278,-0.2909592,0.11740588,-0.18134654,-0.0048133372,0.08677559,-0.06712805,-0.058828384
0.021704689,0.41220725,-0.13489667,-0.26010805,0.16962697,-0.16231924,0.021955024,0.046607137,-0.03967424,-0.034026634
-0.09713568,0.4207615,-0.13112997,-0.20452927,0.16780105,-0.12723254,-0.0018331596,0.05331185,-0.04809281,-0.04492659
-0.0039113145,0.4875393,-0.1352172,-0.28402445,0.11789143,-0.16008246,0.027108388,0.11025726,-0.06565781,-0.08175199
0.03944467,0.4910008,-0.113838285,-0.32372528,0.06878277,-0.16005124,0.034986198,0.15692295,-0.044846475,-0.06095292
0.15137962,0.011978416,0.0030012268,0.35300872,0.5682835,0.13698882,-0.39380142,0.096928686,-0.06665027,0.11128029
0.348867,0.02188149,-0.025302403,0.40435573,0.60457253,0.08931303,-0.53920376,0.095549226,-0.09654996,0.14585981
0.3910556,-0.06942632,0.19934028,-0.3624907,-0.27579725,-0.21594825,-0.56760424,-0.07398307,-0.14437346,0.24218692
0.44510144,-0.03292977,0.06863848,-0.27363363,-0.054741643,0.18780595,-0.55496156,-0.004319898,-0.18610199,0.33578986
0.24353312,-0.11369414,0.026960755,-0.064319916,0.1926317,-0.17842066,-0.47729462,0.10839907,0.062743686,-0.011331747
0.30164942,-0.13872077,0.029880466,-0.166845,0.021271292,-0.116786875,-0.555153,-0.1423416,-0.27859613,0.047778323
0.41614467,-0.23140728,0.10354928,0.1193302,-0.1556405,-0.45573765,-0.3894051,-0.19540295,-0.23066697,0.00054907793
0.27460933,-0.06994795,0.20394666,-0.47962344,-0.28549612,-0.1760637,-0.41128132,0.018995749,-0.089124046,0.27418503
0.3658045,-0.10719992,0.107804336,-0.47979414,-0.2302201,-0.110139996,-0.53475064,0.053672977,-0.13444689,0.3601128
0.6360878,-0.15272821,0.02433063,0.008993863,0.078699335,0.073094495,-0.6908668,-0.03060509,-0.14570853,0.3538994
0.5029717,-0.15240782,-0.0045028543,0.47839347,0.45673883,0.04892573,-0.6111645,0.011183067,-0.11978386,0.25231767
-0.45445403,-0.18767221,-0.17598784,-0.36595106,0.41865814,-0.42402908,-0.12721904,0.20288157,0.42594922,-0.32707372
-0.05481621,-0.045829333,-0.193388,0.45477062,0.117232256,-0.1919812,-0.107333,-0.25323552,-0.10728242,-0.25290713
-0.22129641,-0.29702216,-1.5910705,-0.58988184,-0.43410847,0.0769386,-0.886942,0.07209653,0.23124263,0.23276098
-0.0870632,-0.05900711,-0.002898795,0.21555063,0.054987088,-0.15193239,0.115215585,-0.05090951,-0.07132662,0.3217711
0.07976557,-0.16806564,-0.18986924,0.24973072,0.2303786,-0.2591416,0.1563173,0.2722767,0.34476668,0.021520546
0.43219468,-0.10169255,-0.1808313,1.027911,-0.10229354,-0.38295326,0.038051896,-0.23616251,-0.008525667,-0.40602583
-0.11360365,-0.09109574,-0.09081717,0.40234935,-0.07719188,-0.20834239,0.30463767,0.0084052235,-0.10458137,0.35537636
0.095353484,0.31346712,-0.12567055,0.3248216,-0.2214048,0.08857768,-0.6695195,-0.2343739,-0.061922695,-0.10369531
0.0037218495,0.06689504,0.019731697,0.082431756,-0.14277345,0.08573169,0.0466602,-0.20334683,-0.021365449,-0.1266209
-0.20730068,-0.01972624,-0.14567773,0.4250315,-0.097297244,-0.117426075,0.4396078,0.06767369,-0.15935266,0.4379941
1.1344867,0.3045509,-0.2849979,1.0575509,-0.3905307,0.17494604,-0.9531933,-0.11759199,0.09280014,-0.23956731
-0.4528433,0.15498796,-0.25935262,0.516734,-0.1028385,0.12188048,0.7485487,0.23439635,-0.29507858,0.689209
-0.11099761,-0.08879738,-0.08180668,0.39178956,-0.08028493,-0.20579785,0.298669,0.0057604713,-0.10836357,0.3600938
0.003883133,0.058784813,0.023603,0.074079104,-0.14378272,0.08900981,0.042645898,-0.19840667,-0.023780912,-0.14082852
0.7669188,0.37582925,-0.24982199,0.85756993,-0.38502732,0.15649588,-0.9974179,-0.20402257,0.017874436,-0.21692413
0.059657242,-0.14758107,-0.43238902,-0.32432264,-0.14641319,-0.06489473,-0.17542407,0.25001264,0.2160395,0.11174225
-0.85094064,-0.032243825,-0.20696461,-0.42894265,0.47372794,-0.042908706,0.03930757,-0.12128007,-0.13178751,0.22824328
0.90079325,-0.12098755,0.07373246,0.6755662,-0.5131528,-0.09967912,0.27213863,0.2770784,0.09255342,0.07200146
-0.3367522,0.080829255,-0.19995563,0.47139397,-0.10638618,0.014695297,0.598074,0.15756185,-0.23790026,0.5813979
-0.08897855,-0.050217185,-0.084907375,0.34721684,-0.030745393,-0.14627472,0.25162828,-0.031165717,-0.059441928,0.31004694
0.89011276,-0.14878932,0.025581092,0.6342832,-0.5021024,-0.09716171,0.26175973,0.28325412,0.116975285,0.07981241
0.028590491,-0.017992845,0.07444946,-0.019986562,0.036409747,-0.036305457,0.042533234,0.14855503,0.09484222,-0.061642718
0.007345515,0.043210033,-0.27946907,-0.047839813,-0.12235791,0.044618644,-0.25724742,0.19983639,0.13220926,-0.01401342
0.14468952,-0.11163893,-0.1902118,0.34041634,-0.08186089,-0.068515584,0.23213524,0.08948728,0.068803914,0.19722472
-0.25850922,-0.07191601,-0.4027513,0.3349006,0.22447687,-0.11843304,-0.10677547,-0.18525432,-0.17989333,-0.015743388
-0.15986909,0.4069851,0.34792122,0.20414877,0.22329405,-0.023059594,-0.24904914,-0.6443362,1.0389628,1.0507491
-0.26133975,-0.0749382,-0.40875155,0.3397774,0.22951719,-0.117877126,-0.11127634,-0.18040201,-0.19060077,-0.016589928
-0.22174856,0.17150803,0.1109422,0.11549139,-0.13814366,-0.11324032,-0.14135478,0.2612843,-0.050225917,0.0020062984
-0.38592425,-0.5022865,0.2624996,0.28078112,-0.20085776,0.2546761,-0.20198892,0.07800828,0.10149017,-0.017428342
0.20002155,-0.1256066,-0.20349535,-0.17649624,0.08548631,0.15655547,-0.20086916,-0.05495093,0.09791632,-0.03319239
0.08044827,-0.056928925,-0.036706124,-0.06433189,0.09102522,0.32214195,0.2622385,0.057735886,-0.22430882,0.010015342
